,Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
371,55 000,"706, rue Viau",Ste-Brigitte-De-Laval,4,2,1797,11735
372,396 000,"1067, Route 117",Val-David,5,2+2,2104,69403
373,296 000,"3622, rue Émilienne-Dubé",Sherbrooke (Mont-Bellevue),3,2,1119,4999
374,245 999,"573, rue des Artisans",St-Lin-Laurentides,2,1+1,1025,5500
375,330 000,"8, rue Vézina",Lévis,3,1+1,1794,13805
376,189 900,"26, rue de Soulanges",Gatineau (Gatineau),3,1+2,2791,7826
377,289 400,"18, rue du Flottage",Breakeyville,2,1+2,2729,4585
378,375 000,"340, rue de Lucerne",Ste-Adèle,4,1+1,952,18729
379,425 000,"302, rue des Merisiers",Vaudreuil-Dorion,5,2+1,1742,4520
380,289 900,"2987, avenue Bourque",Mascouche,4,1+1,1200,6000
381,265 000,"7, rue Coop-Doucet",St-Léonard-D'Aston,2,1+1,1980,7405
382,300 000,"23, rue de Roulier",Gatineau (Gatineau),3,2,861,11368
383,306 500,"156, rue Bernard-Léveillé",Granby,3,2,1345,13450
384,399 900,"42, impasse de l'Esplanade",Gatineau (Gatineau),3,1+1,1300,8783
385,242 000,"107, rue Patrick Hackett",Granby,4,1,1149,4995
388,215 000,"1885, rue Jeanne-Sauvé",Sherbrooke (Mont-Bellevue),3,2,840,5000
389,437 900,"7588, boulevard Saint-Anne",Château-Richer,3,2,1506,130513
390,345 000,"2997, rue Laurin",Ste-Marthe-Sur-Le-Lac,4,2,1087,5387
392,233 900,"2353, rue René-Pépin",Sherbrooke (Mont-Bellevue),4,1+1,1016,3250
393,400 000,"186, rue des Passerins",Beauport,4,1+1,1352,5000
394,175 000,"1556, rue du Mûrier",Sherbrooke (Rock Forest),2,1+1,806,3500
395,205 000,"860, rue de Juge-Allard",Berthierville,4,2,952,6456
396,310 000,"621, des Érables-Rouge",St-Honore-De-Chicoutimi,4,2,1156,24000
397,251 000,"242, rue Rabelais",St-Constant,2,1+1,1225,2000
399,275 000,"3407, rue Antoine-Barsalou",St-Jean-Baptiste,3,2,1008,9914
400,400 000,"52, rue François-Baillairge",Blainville,5,2,1076,6585
401,304 999,"200, Place des Miliciens",La Prairie,3,1+1,1280,1786
402,529 900,"13950, rue Guillaume-Alarie",Mirabel (St-Janvier),3,2,2293,10829
403,197 500,"662, rue Asselin",Gatineau (Gatineau),3,1+1,1050,3024
404,248 500,"764, rue A.-Gibeault",Gatineau (Gatineau),4,1+1,1427,4990
405,437 000,"1196, rue Huet",Ste-Julie,4,2+1,2400,6264
406,329 000,"333, rue Louis-Pasteur",St-Jean-sur-Richelieu (St-Luc),3,1+1,1392,7068
407,186 500,"1285, rue Marini",Sherbrooke (Rock Forest),3,1+1,651,3759
408,398 000,"3210, boulevard Saint-Anne",Beauport,3,1+1,2970,11000
409,322 000,"1135, boulevard René-Lévesque",St-Eustache,4,1+1,1465,3907
410,225 300,"1219, boulevard Raymond - Par Construction C.R.D",Beauport,2,1+1,1465,5000
411,379 000,"973, rue des Châtaigniers",Lévis,3,2+1,1568,6458
412,315 000,"1555, rue Georges-E.-Côté",Trois-Rivières (Trois-Rivières),3,1+1,1580,6919
413,230 000,"7006, rue des Halbrans",Terrebonne (La Plaine),2,1,810,4602
414,79 500,"33, place Normandin",Shawinigan (Grand-Mère),2,1,700,9633
415,269 000,"8154, chemin de Venise",Sherbrooke (Deauville),3,1+1,1656,3600
416,379 900,"164, rue Jeanne-Mance",Beloeil,4,2,1656,8934
417,186 900,"449, Boulevard du Docteur-Gervais",Mont-Tremblant (St-Jovite),2,1,850,4300
419,174 500,"140, rue de Mère-Gamelin",Trois-Rivières (Cap-De-La-Madeleine),4,2,735,6500
420,325 000,"108, rue Fillion",Scott,4,1+1,1692,39900
421,525 000,"453, chemin du Lac-Bleu",St-Hippolyte,3,2+1,2800,21800
422,375 000,"2149, boulevard Laurier",Ste-Foy,4,1,1444,7500
424,156 000,"1022, avenue Lavoisier",St-Joseph-De-Beauce,2,1,906,13405
425,255 000,"34, rue Provost",St-Rémi,7,2,1388,4124
426,59 500,"29, Chemin du Haut-Bois",Val-Des-Monts,2,1,946,43560
427,395 000,"15, rue du Quai",Deschambault,4,2,1208,12921
428,170 000,"914, avenue du Castel",St-Joseph-De-Beauce,3,2,952,5231
429,300 000,"123, rue des Goélands",Lavaltrie,3,2+1,2160,11347
430,799 999,"1660, boulevard Bastien",Neufchatel,4,2+2,2260,25995
431,768 000,"4360, Boul. Le Corbusier",Ste-Rose,7,3+1,2699,5704
432,225 000,"170, rue du Summerlea",Pointe-des-Cascades,2,1+1,1193,1630
434,329 000,"938, rue Ducharme",St-Jérôme (Bellefeuille),3,2,1176,10810
435,315 000,"6567, rue Valade",Ste-Rose,4,2+1,1834,3292
436,549 000,"1141, chemin des Boisés-Champêtres",Val-David,5,2+1,2700,135000
438,142 000,"355, rue Jean-Cauvier",Beauharnois (Maple Grove),2,1,882,5000
439,312 000,"19, rue de l'Étoile",Gatineau (Hull),4,2+1,1356,3068
440,208 000,"4277, rue des Thuyas",Charlesbourg,2,1+1,1038,1756
441,284 000,"691, rue Luc-Lacourcière",Pintendre,6,2,1038,4400
442,240 000,"245, 11e Rang",Ste-Anne-Du-Lac,3,1+1,1440,47480
443,344 000,"905, boulevard Iberville",Repentigny (Repentigny),3,2+1,1446,6271
444,170 000,"865, 112e Avenue",Drummondville (Drummondville),4,2,1130,5400
446,895 000,"768, rue Paul-Doyon - Maison Modèle - Par les Habitations Jules Morin",Boucherville,3,2+1,2311,7320
447,449 000,"680, côte Sainte-Geneviève",St-Jean Baptiste,4,2,2311,1095
448,319 000,"224, chemin de la Presqu'Île",Mont-Laurier,4,2,2280,44315
449,1 328 000,"20, rue du Grand-Duc",L'Ile Des Soeurs,3,2+1,2015,3715
450,350 000,"173, carré de Chinon",Terrebonne (Lachenaie),3,1+1,1016,5085
451,219 000,"22, rue Guy",Repentigny (Repentigny),3,2,1066,5515
452,198 000,"7095, rue Principale",Grand-St-Esprit,4,2,954,50286
453,415 000,"227-229, rue Jeannette",Longueuil (LeMoyne),6,2,954,8116
454,420 000,"4125, rue Barette",Trois-Rivières (Trois-Rivières-Ouest),4,2+1,990,7850
455,289 900,"240, 76e avenue",Chomedey,3,1+2,729,3375
456,475 000,"402, avenue Clément",Dorval / L'Île Dorval,3,2,1500,8700
457,273 000,"27, rue du Verger",Warwick,4,2+1,1150,13000
458,269 000,"170, rue du Mûrier",Drummondville (Drummondville),4,2,1046,5500
459,309 000,"1139, boulevard René-Lévesque",St-Eustache,4,1+1,1462,3907
460,150 000,"606, rue Centrale",Authier,3,2,1462,59680
461,229 900,"40, rue Louis-Pasteur",Loretteville,3,2,858,5100
462,192 000,"4910, rang des Étangs",St-Jean-Baptiste,3,1,1080,9332
463,215 000,"645, rue St-Pierre",Drummondville (Drummondville),5,3,1080,8712
464,289 900,"507, rue de la Jeunesse",Napierville,3,1+1,1250,6500
465,447 500,"3133, rue Anne-Hébert",Mercier / Hochelaga / Maisonneuve,3,1+1,1250,658
466,173 500,"152, rue Saint-André",Trois-Rivières (Cap-De-La-Madeleine),3,2,1289,4546
467,319 000,"2730, rue Monseigneur-Pelchat",Rouyn-Noranda,4,2,1296,6231
468,330 000,"6590, avenue Trudelle",Charlesbourg,4,2,924,6661
469,384 500,"410, rue Théorêt",St-Joseph-Du-Lac,3,2,1780,20000
470,340 000,"15, rue Saint-Henri",Mont-St-Hilaire,5,1+1,2119,4408
471,121 000,"6-2623, chemin du Plateau Nord",La Baie,2,1,896,6146
472,229 500,"36, route de Rawdon",St-Alphonse-Rodriguez,4,2,1020,19000
474,530 000,"5055, rue de Kensington",Longueuil (St-Hubert),4,2+1,2108,5704
475,250 000,"28, rue de la Rochellière",St-Colomban,4,2,976,23011
476,375 000,"976, rue de Levilliers",Boucherville,3,2,976,7283
477,330 000,"1764, rue du Renne",Longueuil (Vieux-Longueuil),3,1+1,1185,2992
478,374 000,"47, rue de la Cordée",Blainville,2,2+1,1700,13127
479,194 000,"830, rue Sagala",Berthierville,5,2,1022,6576
480,399 000,"193, rue Principale",St-Edouard-De-Napierville,3,1+1,1800,116000
481,332 000,"110, rue des Prés-Verts",St-Jean-De-Matha,3,1+2,1680,64586
482,320 000,"818, boulevard du Sacré-Coeur",St-Félicien,5,2+1,2278,17600
483,79 000,"147, rue de la Fabrique",St-Luc-De-Bellechasse,3,1,1232,40000
484,339 000,"55, rue des Tulipes",La Prairie,4,2,984,4545
485,1 495 000,"747, avenue Rockland",Outremont,5,2+2,2365,3187
486,268 000,"106, route Marie-Victorin",St-Pierre-Les-Becquets,4,2+1,1600,86214
487,320 000,"689, rue de Charlesbourg",Boisbriand,3,1,923,6000
488,370 000,"7, rue Léon-Giroux",Coteau-Du-Lac,3,1+1,1650,6565
489,340 000,"110, rue des Franciscains",Shannon,4,1+1,1088,34983
490,319 900,"207, rue Robert-Mongeon",Gatineau (Gatineau),3,2,1200,4700
491,225 000,"4630, avenue Bergeron",Bécancour (St-Gregoire),2,2,1109,10807
492,398 000,"3545, rue Dorion",Le Plateau-Mont-Royal,2,1,1100,1800
493,328 500,"15, rue Villeneuve",Gatineau (Hull),5,1+1,1451,6000
494,555 000,"148, chemin du Lac Noiret",Wentworth-Nord,3,2,1087,67059
495,300 000,"68, chemin des Mouettes",Ste-Anne-Des-Lacs,2,1+1,1811,31146
496,65 000,"0000, rue des Pinsons",Ste-Adèle,2,1+1,1811,30975
498,259 900,"1068, rue Patenaude",Ste-Julie,3,1+2,1200,2106
499,1 025 000,"23, chemin de l'Ile",L'Ile-Cadieux,4,2+1,3200,19999
500,299 900,"1170, rue Glaucos",Sherbrooke (St-Élie-d'Orford),4,1+2,1400,14012
501,174 500,"271, rue de la Belle-Rive",St-Jean-De-Matha,3,1,845,42380
502,675 000,"31, rue Galilée",St-Jean-sur-Richelieu (St-Luc),4,3+1,2900,14500
503,284 500,"34, rue des Capucines",Gatineau (Hull),3,1+2,2006,3492
504,209 500,"580, avenue Langlais",St-Pascal-De-Kamouraska,3,2,1500,10000
505,205 000,"473, 2e Rue",Chibougamau,4,2+1,923,6599
506,439 000,"114, rue Fernand-Séguin",Varennes,4,2,1476,5812
507,399 000,"905, rang de la Montagne",St-Raymond,4,2,1536,70751
508,263 845,"2983-2987, rue Albert Lachance - Par Construction Serge Pouliot inc.",Pintendre,3,1+1,1408,5312
509,230 000,"2566, rue de la Lorraine",Jonquière (Jonquière),6,2,1104,8131
510,179 900,"127, carré Marie-Guérin",Beauport,2,1,896,9860
511,189 000,"725, rue Bruneau",Upton,3,1+1,775,3875
512,635 000,"42, chemin Asaret",Luskville,4,3,1998,43560
513,399 000,"1042, rue Anne-Hébert",Terrebonne (Terrebonne),3,1+1,1625,2513
514,560 000,"1351, boulevard René-Lévesque Ouest",Sillery,6,3,1625,5000
515,424 000,"234, rue Chagnon",Vercheres,4,2+1,1902,8894
516,209 700,"386, 25e Rue",Limoilou,2,1,960,4292
517,649 900,"3920, rue François-Rabelais",Chomedey,6,3+1,2688,4770
518,379 000,"1869, rue Emmanuel",Chomedey,3,1+1,1344,2352
519,374 900,"365, 50e Avenue",Pointe-Calumet,3,1+1,1800,6170
520,997 700,"1702, rue d'Iberville",Ville-Marie (Centre-Ville et Vieux Mtl),2,2+1,1910,1716
521,789 000,"9371, rue du Saguenay",Saint-Léonard,3,1+1,2350,4950
522,227 000,"1131, rue Pamphile-Roy",St-Rédempteur,3,1+1,1950,60000
523,330 000,"2785, rue Arthur-Buies",Ste-Rose,4,2,882,5780
524,375 000,"4324, rue de d'Angoulême",Cap-Rouge,5,2+1,1560,8520
525,175 000,"271, 3e Rue Est",Amos,2,1+1,599,4736
526,795 000,"3627, chemin du Moulin",Labelle,2,2,2280,6229080
528,389 000,"12251, avenue Fermand-Gauthier",Rivière des Prairies,3,1+1,1500,4035
529,159 900,"2030, chemin du Haut-des-Côtes",Lac-Simon,2,1+1,1090,31770
530,269 900,"2-110, chemin des Collines",La Pêche (Wakefield),2,2,1400,6595
532,259 500,"235, rue des Percherons",Gatineau (Gatineau),3,2,1039,5069
533,245 000,"2535, rue de Bilbao",Neufchatel,2,1+1,686,2890
534,328 000,"10, rue Bellevue",St-Joachim,3,2+1,1488,29560
535,149 900,"170, 2e Rang Ouest",Price,2,2,1312,34440
536,459 000,"125, rue Loiselle",Marieville,3,2,1536,8146
537,193 000,"1305, rue Jacques",Val-David,3,2,905,53439
538,242 000,"343, rue Duvernay",Vercheres,3,2,1050,6119
541,395 000,"353, rue du Forgeron",Bromont,4,2+1,1593,8812
542,435 000,"4730-4728, rue Pierre-Campagna",Cap-Rouge,3,2,1593,5700
543,298 000,"974, rue Champêtre",Val-David,4,2,1260,16222
544,695 000,"265, rang Saint-Ambroise",Oka,5,33,4250,218595
545,398 000,"145, rue de Boissy",Mascouche,4,2,1164,12500
546,375 000,"60, rue Paul-Albert - Le Tilleul Urbain",Blainville,3,1+1,1164,7720
547,179 700,"21, rue Kildare - Par Construction C.R.D",Ste-Brigitte-De-Laval,2,2+1,1120,5000
548,529 000,"7610, rue de Lima",Brossard,4,1+1,659,3754
549,685 000,"37, rue de l'Île-Barwick",Pierrefonds / Roxboro,5,2+1,2200,10000
550,265 500,"694, place de Dieppe",Blainville,3,2,1200,9400
552,234 500,"122, rue Thomas-Jones",Rivière-Du-Loup,3,1,3241,8135
553,148 500,"302-3665, boulevard Saint-Laurent",Ste-Catherine,2,1,813,1227
554,100 000,"45, rue des Peupliers",Manseau,3,2+1,1250,25000
555,169 900,"310-20, chemin des Patriotes",St-Mathias-sur-Richelieu,2,2,1296,5000
556,395 000,"550, chemin de la Montagne",Ste-Catherine-De-Hatley,3,1+1,1731,40000
557,43 000,"41, montée des Clochers",St-Roch-Des-Aulnaies,3,1+1,1731,17001
558,419 700,"55, rue Michel",Mont-St-Hilaire,5,1+1,1512,8750
559,259 900,"A-18, rue Adonis",Val-Des-Monts (Perkins),3,1+1,1503,23820
560,114 500,"144-50, chemin des Patriotes",St-Mathias-sur-Richelieu,2,1,896,4800
561,500 000,"2330, rue Principale",Ste-Julie,5,2+1,1895,6033
562,197 000,"3163, boulevard des Pins",Ste-Marthe-Sur-Le-Lac,2,1,1125,17216
563,294 500,"47, rue Saint-Philippe",St-Constant,4,2,1020,5484
564,215 000,"2220, avenue de l'Union",St-Cesaire,3,1+1,993,7409
565,364 900,"2737, rue d'Obernai",Auteuil,3,2,915,5000
566,122 500,"300, 2e avenue",St-Honore-De-Chicoutimi,3,1,939,4286
567,648 900,"62, rue du Chinook",Gatineau (Hull),4,3+1,2400,7402
568,350 000,"200, rang Point-du-Jour Sud",L'Assomption,4,1+1,1735,22000
569,494 900,"2, rue Henri-Ladouceur",Mercier,3,1+1,2025,6264
570,325 000,"522, rue Dupré",Ste-Sophie,4,2,1020,7280
571,159 000,"8, avenue du Ravin",Rimouski (Le Bic),2,1,995,10926
572,32 500,"574, chemin du Lac Cayamant",Cayamant,2,1,995,75912726186
573,670 000,"112, rue des Prairies",Magog,5,2+1,2940,87120
575,265 000,"1955, rue comtois",Mascouche,2,1+1,972,15200
576,228 000,"318, rue Ozias-Leduc",Beauport,3,1+1,1149,3750
577,139 900,"1467, rue Principale",Lawrenceville,2,1,1080,6372
578,250 000,"378, boulevard Marie-Victorin",Kingsey Falls,4,2+1,1259,17133
579,160 000,"1102, rue de la Moisson",Chicoutimi (Laterrière),3,1+1,1153,5000
580,345 000,"240, rue Forget",Ste-Anne-Des-Plaines,3,3,1912,7363
581,565 000,"7780, avenue du Curé-Clermont",Anjou,4,2,1233,1405
582,270 000,"83, rue de la Chasse-Galerie",Beauport,3,2,1056,6300
583,212 000,"229, rue Principale",Upton,5,2,1408,23000
584,262 000,"3325, boulevard Saint-Jean",Trois-Rivières (Trois-Rivières-Ouest),4,3,2912,15000
585,209 000,"141, rue Laurie",Les Côteaux,3,1+1,1970,3220
586,172 500,"238, rue Lorraine",Drummondville (St-Nicéphore),5,2+1,900,6671
587,375 000,"540, rue Crémazie",Beloeil,4,2+1,1600,6180
588,189 000,"18, rue Mariette-Dallaire",Berthier-Sur-Mer,3,2,851,4828
589,600 000,"170, rang Saint-Louis",St-Louis-De-Gonzague,1,1+1,1800,4586502
590,950 000,"1012, rue Émile-Nelligan",Boucherville,4,2+1,3314,15018
591,379 000,"1673, rue de Lunebourg",Vimont,4,1+1,3314,5090
592,319 000,"3650, rue de Musset",Trois-Rivières (Trois-Rivières-Ouest),4,1+2,1810,9838
593,690 000,"4453, rue Messier",Le Plateau-Mont-Royal,6,3,1176,1300
594,390 000,"56, rue Bouchard",Longueuil (Vieux-Longueuil),3,3+1,1100,4000
596,150 000,"178, rue Saint-Émile",Chicoutimi (Chicoutimi-Nord),3,2,782,6000
597,1 100 000,"12261, chemin du Golf",Ahuntsic / Cartierville,5,3+2,2782,7684
598,195 900,"253, rue Gouin",St-Sulpice,3,1,1200,3500
599,135 000,"20, chemin du Lac Beaumont",La Tuque (La Croche),3,1+1,1800,20000
600,449 000,"380, petit rang Saint Charles",St-Paul-D'Abbotsford,4,3,1650,401042
601,585 000,"1245, rue Lafontaine",Ste-Dorothée,5,2+1,2367,9600
602,237 000,"177, rue Guyon",St-Eustache,4,1+1,1032,3390
603,439 000,"3284, rue Michel-Lemieux",Charny,6,2+1,1032,6288
604,167 500,"102-90, rue du Minervois",Gatineau (Aylmer),2,1+1,954,1970
605,368 000,"891, rue de Touraine",St-Jérôme (Bellefeuille),3,2+1,954,6999
606,179 000,"795, rue des Pruches",Rimouski (Rimouski),4,2,858,4180
607,85 000,"915, avenue Jacques",St-Joseph-De-Beauce,2,1,858,4836
608,333 000,"102-3100, rue Sherbrooke Est",Mercier / Hochelaga / Maisonneuve,2,1,848,69
609,249 900,"1510, rang St-Édouard",St-Liboire,3,1,12547,60000
610,219 000,"114, rue Santa",St-Jérôme (Lafontaine),2,1+1,1400,4500
611,339 900,"1471, rue Jean-Bigonesse",Chambly,4,2,1400,5751
612,200 000,"116, rue Demers",St-Apollinaire,3,1+1,1400,3692
613,265 000,"35, rue du Plateau",Clermont,3,1+1,1231,82580
614,296 000,"45, rue Gosselin",St-Liboire,4,2,1231,14181
615,365 000,"5450, rue Vincent-Beaumont",Charlesbourg,5,2,852,6300
617,229 000,"3, rue des Pinsons",Gaspé,3,1+1,1280,5605
618,226 500,"147, rue Moreau",St-Apollinaire,5,1+1,1440,4110
619,639 000,"1161, rue du Capitaine Bernier",Cap-Rouge,5,2+1,2185,6810
620,329 999,"89, rue du Faubourg",Val-Des-Monts,3,1+1,1600,40033
621,223 000,"6144, rue d'Alésia",Lebourgneuf,2,1,1200,2404
622,218 500,"128, rue Gabriel",Les Côteaux,3,2,1313,3774
623,208 500,"657, rue Baron",St-Elzéar-de-Beauce,3,2,1059,4590
624,2 300 000,"829, chemin du Lac-Meech",Chelsea,4,3,4755,91040
625,141 000,"388, 125e Rue",St-Anicet,3,1,4755,4550
626,94 000,"3813, 130e Rue",St-Anicet,2,1,4755,22389
627,335 000,"576, rue Flora",Grandes-Piles,3,1+1,1128,50000
629,499 500,"46, rue Allard",Chateauguay,3,1,1200,1010138
630,222 000,"149, rue des Tournesols",Chicoutimi (Chicoutimi-Nord),4,2,1998,7201
631,99 900,"31, rue Lucile-Rolin",Howick,4,2,1998,32879
632,324 000,"1244, avenue Jean-Michel",Charlesbourg,4,2,1120,7998
633,605 000,"257, chemin Saxby Sud",Shefford,3,2,2630,512701
634,249 900,"270, RUE DE LA GALÈRE",Gatineau (Gatineau),4,2+1,1450,3519
635,315 000,"1596, rue Bonne-Entente",Ile d'Orléans (St-Pierre),3,2+1,1456,11000
636,399 500,"4698, rue Poncet",Sherbrooke (Rock Forest),6,2+1,1920,9400
637,424 900,"27, rue Pascal",ND-De-L'Ile-Perrot,4,1+2,1920,8250
638,382 000,"645, rue Victoria",Sherbrooke (Jacques-Cartier),5,2,1920,11986
639,170 000,"3125, rue des Jonquilles",Drummondville (Drummondville),2,1+1,581,5788
640,192 500,"113, rue Morissette",Ste-Claire,2,2,1143,9129
641,159 000,"21, rue Stevenson",Salaberry-De-Valleyfield,2,1+1,900,1600
642,392 000,"15, rue de l'Artilleur",Blainville,5,2,1302,7276
643,264 000,"1442, rue Éliot",Val-Bélair,3,2,1329,4642
644,263 000,"500, rue Savard",Chertsey,2,1+2,1755,92504
645,274 500,"97, rue de Chambois",Beauport,3,2,974,6914
647,400 000,"293, rue du Petit Hunier",St-Augustin-De-Desmaures,4,1+1,1456,5800
648,299 000,"83, rue Beauchemin",St-Basile-Le-Grand,2,2,1085,4400
649,239 000,"956, rue Deveau",Trois-Rivières (Cap-De-La-Madeleine),4,2,1085,7836
650,325 000,"13, rue Jean-de la Fontaine",Gatineau (Aylmer),3,2,1200,5887
651,289 000,"1070, rue de Dijon",Ste-Foy,3,2,1200,3814
652,299 000,"631, rue Trudeau",Richelieu,3,1+1,1039,6418
653,179 500,"19, rue de Beauce",Gatineau (Gatineau),3,1,1200,2999
654,295 000,"769, rue Philippe-Angers",Beauport,3,1+1,1189,5850
655,169 000,"1235, 122e Rue",Shawinigan (Shawinigan-Sud),5,2,1134,8839
656,348 000,"8609, avenue des Belges",Villeray / St-Michel / Parc-Extension,2,1,1044,1759
657,324 000,"511, rue Boniface",Repentigny (Le Gardeur),4,2,1224,4643
658,146 500,"103, rue Curé-Beaumont",St-Narcisse-De-Beaurivage,5,2,1176,19000
659,269 000,"3011, rue des Cèdres",Dunham,3,2,1560,43056
660,167 000,"38, rue des Hirondelles",Lachute,2,1,845,5514
661,325 000,"12690, 48e Avenue",Rivière des Prairies,2,1+1,1391,5849
662,219 900,"121, rue des Colibris",Entrelacs,4,2,1440,49362
663,339 000,"50, chemin des Oeillets",Ste-Anne-Des-Lacs,3,1+1,1388,61404
664,239 000,"760, rue Gosselin",Salaberry-De-Valleyfield,4,2+1,1360,4020
665,325 000,"4346, rue Marcheterre",Ascot Corner,5,2,1409,20227
666,485 000,"258, chemin du Lac-du-Pin-Rouge",St-Hippolyte,5,2+1,3200,43000
667,300 000,"35, rue Terry-Fox",St-Apollinaire,4,2+1,1180,8202
668,259 900,"23, Terrasse Lamothe",Auteuil,3,2+2,1403,5290
669,254 900,"309, Croissant du Rubis",St-Lin-Laurentides,4,1+1,1345,4000
670,209 000,"1265, rue 123e",Shawinigan (Shawinigan-Sud),3,1+1,1800,4420
672,229 000,"1486, avenue du Lac-Saint-Charles",Lac-St-Charles,4,2,1300,6550
673,220 000,"23, allée du Centre",Drummondville (St-Nicéphore),3,2,930,7552
674,449 000,"385, rue Vaudreuil",Rosemère,5,1,1768,7449
675,479 000,"2406, rue Henriette",Carignan,5,2+1,2016,16356
676,405 000,"233, rue Georges-Vanier",Pont-Viau,4,1+1,1085,4833
677,319 000,"110, rue Larose",Beloeil,4,2,1080,8000
678,189 900,"479, boulevard Nilus-Leclerc",L'Islet (St-Eugène),4,1+1,2170,9920
679,345 000,"210, boulevard Bégin",St-Pacôme,5,4,4160,29500
680,195 000,"551, rang Sainte-Agathe",Ste-Beatrix,2,1+1,1414,86468
681,440 000,"1500, rue Bellevue",St-Lambert-De-Lauzon,3,1,1050,478423
682,210 000,"81, rue Sainte-Thérèse Est",Alma,4,2,960,6500
683,200 000,"1, rue de l'Abitibi",Repentigny (Repentigny),2,2+2,605,4363
684,215 000,"100, Sentier Aubry-Bouchard",St-Félix-D'Otis,2,1,1732,229551
685,395 000,"15, rue Bresseau",Loretteville,3,2,1400,5794
686,339 000,"145, rue Jeannine-Crevier",Ste-Sophie,3,2,1200,32000
687,300 000,"10370, rue du Sauvignon",Mirabel,4,1+1,1752,7062
688,399 000,"3276, croissant François-Brassard",Boisbriand,3,1+2,1400,5481
689,569 900,"1950, rue du Patrimoine",St-Lazare,6,2+1,2563,26086
690,1 299 999,"7361, rue Saint-Denis",Villeray / St-Michel / Parc-Extension,4,1,2563,2250
691,320 000,"765, rue Beausoleil",Pointe-Aux-Trembles / Montréal-Est,3,1+1,2563,3374
692,209 000,"1-1174, rue Léon-Provancher",St-Nicolas,2,1+1,1496,4176
693,375 000,"1211, rue Sainte-Hélène",St-Jean-Chrysostome,2,1,1040,143000
694,359 000,"5775, rue des Seigneurs Est",St-Hyacinthe,4,1+1,2254,16819
695,175 000,"13, chemin du Barrage",St-André-Avellin,2,1,784,11829
